trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,targetValue,passed,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,91,close a window in a cold room,95,9982,true,95,5530,true,13522,11,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,51,walk a friend's dog for a week,90,5999,true,70,3150,true,12288,12,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,9,play a song on the piano from memory,5,13855,true,15,3890,true,16405,13,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,35,give fifty dollars to an acquaintance,65,19289,true,10,12025,true,23772,14,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,93,grab someone a glass of water while you're already in the kitchen,95,10325,true,90,5390,true,12848,15,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,101,nod in agreement,100,10872,true,85,4222,true,16841,16,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,70,recommend a good restaurant,70,9986,true,85,2488,true,19648,17,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,86,listen to someone vent about their problems for an hour,60,10528,true,75,3134,true,25567,18,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,87,open a tight jar for someone,95,6592,true,85,2457,true,10613,19,false
whyask-trial,6e7mdwq44t,,,,0,WA,2,,,80,tell someone how much money you make,95,10341,true,55,3598,true,17617,20,false
whyask-trial,6e7mdwq44t,,,,0,WA,attn,43,true,ATTN_1,,43,,true,43,,true,,ATTN_1,false
whyask-trial,6e7mdwq44t,,,,0,WA,attn,14,true,ATTN_2,,14,,true,14,,true,,ATTN_2,false
